,eta,gamma,max_depth,min_child_weight,max_delta_step,subsample,colsample_bytree,colsample_bylevel,lambda,alpha,num_round,nthread,silent,objective,seed,validate_parameters,instance,error,running time,timeed out?,crashed?
31,0.6,0.0,10,1.0,5.0,0.109,1.0,0.75,1.0,0.0,250.0,1,1,binary:logistic,47466,1,i5,0.09357250769730929,663.1037411689758,False,False
32,0.6,0.0,10,1.0,5.0,0.15850000000000003,1.0,0.75,1.0,0.0,250.0,1,1,binary:logistic,92698,1,i5,0.06922797422118532,671.890823841095,False,False
33,0.6,0.0,10,1.0,5.0,0.20800000000000002,1.0,0.75,1.0,0.0,250.0,1,1,binary:logistic,33695,1,i5,0.05872903558929832,685.9565324783325,False,False
34,0.6,0.0,10,1.0,5.0,0.20800000000000002,1.0,0.75,1.0,0.0,250.0,1,1,binary:logistic,16217,1,i4,0.0570652693580157,697.469203710556,False,False
35,0.6,0.0,10,1.0,5.0,0.8515,1.0,0.75,1.0,0.0,250.0,1,1,binary:logistic,53762,1,i4,0.027155724694498118,696.9472832679749,False,False
36,0.6,0.0,10,1.0,5.0,0.2575,1.0,0.75,1.0,0.0,250.0,1,1,binary:logistic,25431,1,i5,0.05088829817750662,709.0915451049805,False,False
37,0.6,0.0,10,1.0,5.0,0.20800000000000002,1.0,0.75,1.0,0.0,250.0,1,1,binary:logistic,80524,1,i3,0.057600734351991756,713.6492745876312,False,False
38,0.6,0.0,10,1.0,5.0,0.20800000000000002,1.0,0.75,1.0,0.0,250.0,1,1,binary:logistic,54198,1,i1,0.05746576914250745,713.9979207515717,False,False
39,0.6,0.0,10,1.0,5.0,0.9505,1.0,0.75,1.0,0.0,250.0,1,1,binary:logistic,13678,1,i4,0.026352527203534093,716.5508069992065,False,False
40,0.6,0.0,10,1.0,5.0,0.35650000000000004,1.0,0.75,1.0,0.0,250.0,1,1,binary:logistic,88242,1,i4,0.03838136581820961,717.728951215744,False,False
41,0.6,0.0,10,1.0,5.0,0.2575,1.0,0.75,1.0,0.0,250.0,1,1,binary:logistic,77804,1,i4,0.04956875944235151,724.9699585437775,False,False
42,0.6,0.0,10,1.0,5.0,0.901,1.0,0.75,1.0,0.0,250.0,1,1,binary:logistic,23703,1,i2,0.028035417184601563,730.7346670627594,False,False
43,0.6,0.0,10,1.0,5.0,1.0,1.0,0.75,1.0,0.0,250.0,1,1,binary:logistic,49406,1,i3,0.026543764701382644,732.6534407138824,False,False
44,0.6,0.0,10,1.0,5.0,0.9505,1.0,0.75,1.0,0.0,250.0,1,1,binary:logistic,26130,1,i5,0.027844179686753012,742.3318150043488,False,False
45,0.6,0.0,10,1.0,5.0,1.0,1.0,0.75,1.0,0.0,250.0,1,1,binary:logistic,10258,1,i2,0.02765294218890435,743.1854712963104,False,False
46,0.6,0.0,10,1.0,5.0,0.30700000000000005,1.0,0.75,1.0,0.0,250.0,1,1,binary:logistic,91508,1,i2,0.04379338700732438,745.2168967723846,False,False
47,0.6,0.0,10,1.0,5.0,0.30700000000000005,1.0,0.75,1.0,0.0,250.0,1,1,binary:logistic,94629,1,i1,0.043352711695861745,746.4671165943146,False,False
48,0.6,0.0,10,1.0,5.0,0.2575,1.0,0.75,1.0,0.0,250.0,1,1,binary:logistic,61414,1,i3,0.04893767569945118,747.144451379776,False,False
49,0.6,0.0,10,1.0,5.0,0.30700000000000005,1.0,0.75,1.0,0.0,250.0,1,1,binary:logistic,95494,1,i5,0.04427148075194587,750.7529718875885,False,False
50,0.6,0.0,10,1.0,5.0,0.901,1.0,0.75,1.0,0.0,250.0,1,1,binary:logistic,47784,1,i1,0.02809225120477321,758.9296538829803,False,False
51,0.6,0.0,10,1.0,5.0,1.0,1.0,0.75,1.0,0.0,250.0,1,1,binary:logistic,25276,1,i4,0.027710313438259027,760.4499220848083,False,False
52,0.6,0.0,10,1.0,5.0,0.901,1.0,0.75,1.0,0.0,250.0,1,1,binary:logistic,70003,1,i3,0.026620259700522064,764.5614731311798,False,False
53,0.6,0.0,10,1.0,5.0,0.9505,1.0,0.75,1.0,0.0,250.0,1,1,binary:logistic,13034,1,i1,0.02776715367551441,768.3120114803314,False,False
54,0.6,0.0,10,1.0,5.0,1.0,1.0,0.75,1.0,0.0,250.0,1,1,binary:logistic,35155,1,i1,0.02822611489329152,769.8521032333374,False,False
55,0.6,0.0,10,1.0,5.0,0.802,1.0,0.75,1.0,0.0,250.0,1,1,binary:logistic,59092,1,i4,0.027519075940410365,770.2820138931274,False,False
56,0.6,0.0,10,1.0,5.0,0.6535000000000001,1.0,0.75,1.0,0.0,250.0,1,1,binary:logistic,76736,1,i4,0.029527069667820482,773.0277590751648,False,False
57,0.6,0.0,10,1.0,5.0,0.9505,1.0,0.75,1.0,0.0,250.0,1,1,binary:logistic,41026,1,i3,0.026409898452888658,774.6590740680695,False,False
58,0.6,0.0,10,1.0,5.0,0.8515,1.0,0.75,1.0,0.0,250.0,1,1,binary:logistic,61745,1,i1,0.02868507611106863,775.3201200962067,False,False
59,0.6,0.0,10,1.0,5.0,0.7525000000000001,1.0,0.75,1.0,0.0,250.0,1,1,binary:logistic,11503,1,i2,0.02828402593180468,777.9099171161652,False,False
60,0.6,0.0,10,1.0,5.0,0.35650000000000004,1.0,0.75,1.0,0.0,250.0,1,1,binary:logistic,67666,1,i5,0.04054234954389857,782.0632646083832,False,False
61,0.6,0.0,10,1.0,5.0,0.901,1.0,0.75,1.0,0.0,250.0,1,1,binary:logistic,67626,1,i4,0.027920674685892433,781.4111585617065,False,False
62,0.6,0.0,10,1.0,5.0,0.8515,1.0,0.75,1.0,0.0,250.0,1,1,binary:logistic,56104,1,i3,0.026926239697079857,783.6876714229584,False,False
63,0.6,0.0,10,1.0,5.0,0.7525000000000001,1.0,0.75,1.0,0.0,250.0,1,1,binary:logistic,45514,1,i1,0.02879981641551288,785.4451282024384,False,False
64,0.6,0.0,10,1.0,5.0,0.9505,1.0,0.75,1.0,0.0,250.0,1,1,binary:logistic,76353,1,i2,0.027404333441701234,786.8606178760529,False,False
65,0.6,0.0,10,1.0,5.0,0.505,1.0,0.75,1.0,0.0,250.0,1,1,binary:logistic,17373,1,i5,0.03381078961962858,792.566675901413,False,False
66,0.6,0.0,10,1.0,5.0,0.802,1.0,0.75,1.0,0.0,250.0,1,1,binary:logistic,46879,1,i1,0.0279583875162549,794.1264963150024,False,False
67,0.6,0.0,10,1.0,5.0,0.7030000000000001,1.0,0.75,1.0,0.0,250.0,1,1,binary:logistic,58732,1,i3,0.028609129678147327,794.3529176712036,False,False
68,0.6,0.0,10,1.0,5.0,0.7525000000000001,1.0,0.75,1.0,0.0,250.0,1,1,binary:logistic,39616,1,i3,0.02895335717427472,794.6231830120087,False,False
69,0.6,0.0,10,1.0,5.0,0.802,1.0,0.75,1.0,0.0,250.0,1,1,binary:logistic,23295,1,i2,0.027786808437398447,796.8257505893707,False,False
70,0.6,0.0,10,1.0,5.0,0.30700000000000005,1.0,0.75,1.0,0.0,250.0,1,1,binary:logistic,99583,1,i3,0.04367864450861525,801.0363037586212,False,False
71,0.6,0.0,10,1.0,5.0,0.8515,1.0,0.75,1.0,0.0,250.0,1,1,binary:logistic,83757,1,i5,0.027825055936968157,804.8355512619019,False,False
72,0.6,0.0,10,1.0,5.0,0.901,1.0,0.75,1.0,0.0,250.0,1,1,binary:logistic,50286,1,i5,0.02772943718804388,805.1829679012299,False,False
73,0.6,0.0,10,1.0,5.0,0.30700000000000005,1.0,0.75,1.0,0.0,250.0,1,1,binary:logistic,12598,1,i4,0.04417586200302159,806.1029829978943,False,False
74,0.6,0.0,10,1.0,5.0,0.6535000000000001,1.0,0.75,1.0,0.0,250.0,1,1,binary:logistic,38544,1,i1,0.02977510900328917,809.9537019729614,False,False
75,0.6,0.0,10,1.0,5.0,0.35650000000000004,1.0,0.75,1.0,0.0,250.0,1,1,binary:logistic,96087,1,i2,0.03929930580788277,810.428768157959,False,False
76,0.6,0.0,10,1.0,5.0,0.7030000000000001,1.0,0.75,1.0,0.0,250.0,1,1,binary:logistic,25338,1,i2,0.029240213421047545,811.4546937942505,False,False
77,0.6,0.0,10,1.0,5.0,0.35650000000000004,1.0,0.75,1.0,0.0,250.0,1,1,binary:logistic,17379,1,i3,0.03956703830487085,822.5247187614441,False,False
78,0.6,0.0,10,1.0,5.0,0.4555,1.0,0.75,1.0,0.0,250.0,1,1,binary:logistic,99863,1,i1,0.03547387745735486,823.1269619464874,False,False
79,0.6,0.0,10,1.0,5.0,0.406,1.0,0.75,1.0,0.0,250.0,1,1,binary:logistic,59176,1,i2,0.037425178328966746,826.1361100673676,False,False
80,0.6,0.0,10,1.0,5.0,0.6040000000000001,1.0,0.75,1.0,0.0,250.0,1,1,binary:logistic,60725,1,i5,0.031229083398672808,833.2740807533264,False,False
81,0.6,0.0,10,1.0,5.0,0.7030000000000001,1.0,0.75,1.0,0.0,250.0,1,1,binary:logistic,82613,1,i5,0.028666500927501892,835.683183670044,False,False
82,0.6,0.0,10,1.0,5.0,0.7525000000000001,1.0,0.75,1.0,0.0,250.0,1,1,binary:logistic,81430,1,i5,0.02855175842879276,836.7451810836792,False,False
83,0.6,0.0,10,1.0,5.0,0.6535000000000001,1.0,0.75,1.0,0.0,250.0,1,1,binary:logistic,41487,1,i2,0.030368514658354218,836.8910665512085,False,False
